,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,fifteen,['fifti:n],num.十五 pron./a.十五(个，只...)
,fifty,['fifti],num.五十，五十个
,fig,[fiɡ],n.无花果；一点儿
,fight,[fait],"v./n.打(仗),搏斗,斗争,战斗"
,figment,['fiɡm?nt],n.虚构的东西
,figurative,['fiɡjur?tiv],a.比喻的，借喻的
,figure,['fiɡ?],n.体形;轮廓;数字;图形v.描绘;计算;推测
,figurehead,['fiɡ?hed],n.名义领袖；傀儡
,figurine,['fiɡjuri:n],n.小塑像，小雕像
,filament,['fil?m?nt],n.灯丝；细丝
,filch,[filt?],v.偷(不贵重的东西)
,file,[fail],n.锉刀；v.锉平
,filial,['filj?l],a.子女的
,filibuster,['filib?st?],v./n.以冗长演说妨碍、阻挠(法案或议事的通过)
,filigree,['filiɡri:],n.金银丝做的工艺品
,filings,['faili?z],n.锉屑
,fill,[fil],"v.(with)填满,充满"
,fillet,['filit],n.束发带；鱼肉片
,filly,['fili],n.小母马
,film,[film],n.电影；胶片；薄膜，薄层 vt.把..拍成电影
,filter,['filt?],n.滤纸；v.过滤
,filth,[filθ],n.肮脏，污物；下流的语言
,filtrate,['filtreit],v.过滤;n.滤液
,finable,['fain?bl],a.应罚款的
,finagle,[fi'neig?l],v.骗取，骗得
,final,['fainl],"a.最终的,决定性的 n.结局;决赛;期末考试"
,finale,[fi'nɑ:li],n.最后，最终；乐曲的最后部分
,finally,['fain?li],"ad.最后,最终;决定性地"
,finance,[fai'n?ns],"n.财政,金融 v.为…提供资金"
,financial,[fai'n?n??l],"a.财政的,金融的"
,financial crash,,金融危机
,financing,[fai'n?nsi?;f?'n?nsi?],n.筹措资金
,finch,[fint?],n.雀
,find,[faind],"v.(found,found)找到；发现；发觉；感到"
,finding,['faindi?],"n.发现,发现物;(常pl.)调查/研究结果"
,fine,[fain],"a.晴朗的,美好的,细致的 v./n.罚金,罚款"
,finery,['fain?ri:],n.华丽优雅的服装或装饰
,finesse,[fi'nes],n.技巧；计谋；手段
,finger,['fi?ɡ?],n.手指;指状物;指针
,fingertip,['fi?g?tip;'fi?g?'tip],n.指尖
,finicky,['finiki],a.苛求的，过分讲究的
,finish,['fini?],n.完成;结束;磨光 v.完成;结束;用完;毁掉
,finite,['fainait],a.有限的
,fir,[f?:],"n.枞树,杉木"
,fire,['fai?],n.火；火灾，失火；炉火 vi.开火 vt.放(枪)
,firearm,['fai?rɑ:m],n.(便携式)枪支
,firebrand,['fai?br?nd],n.燃烧的木块；引起(社会或政治的)动乱的人
,firecracker,['fai??kr?k?],n.爆竹;鞭炮
,firefly,['fai?flai],n.萤火虫
,fireman,['fai?m?n],n.消防队员
,fireplace,['fai?pleis],n.壁炉
,fireproof,['fai?pru:f;'fai?'pru:f],"a.耐火的,防火的"
,firm,['f?:m],"a.坚固的;坚决的,坚定的 n.公司,商号"
,first,[f?:st],a./ad.第一；最初;首次 n.开始pron.第一名
,firsthand,['f?:st'h?nd],"a./ad.直接的(地),第一手的(地)"
,fiscal,['fisk?l],a.国库的，财政的
,fish,[fi?],n.(pl.fish(es))鱼；鱼肉 v.捕鱼；钓鱼
,fisherman,['fi??m?n],n.渔夫，捕鱼人
,fishery,['fi??ri],n.渔场；渔业
,fishy,['fi?i],"a.鱼的,鱼味的;腥臭的"
,fissile,['fisail],a.易分裂的
,fission,['fi??n],n.分裂;裂开;分裂生殖;裂变
,fissure,['fi??],n.深长的裂缝，裂隙
,fist,[fist],n.拳头 vt.用拳头打；紧握
,fistula,['fistjul?;'fist?ul?],n.(身体中异常的或手术造成的)通道
,fit,['fit],"a.(病的)发作，痉挛 v./a.n.合适,试穿,安装"
,fitful,['fitful],a.一阵阵的；不安的
,fitness,['fitnis],n.健康
,fitting,['fiti?],"a.适当的,恰当的 n.(常pl.)配件,附件;装配"
,fittingly,['fiti?li],ad.适当地
,five,[faiv],num.五 pron./a.五(个，只...)
,fix,[fiks],v.(使)固定;修理;安装;决定;注视 n.困境
,fixate,['fikseit],v.使固定，使不变；注视，凝视
,fixed,[fikst],"a.固定的,执着的,呆板的"
,fixture,['fikst??],n.固定设备;预定日期;比赛时间;定期存款
,fjord(fiord),[fj?:d;fj?urd],n.峡湾(尤指挪威海岸边的)
,flabby,['fl?bi],a.(肌肉)松软的；意志薄弱的
,flaccid,['fl?ksid],a.松弛的；软弱的
,flag,[fl?ɡ],v.减弱，衰退；（植物）枯萎
,flagella,[fl?'d?el?;fl?'d?il?],"n.鞭节,鞭毛"
,flagellate,['fl?d?eleit],v.鞭打，鞭笞
,flagging,['fl?ɡi?],a.下垂的；衰弱的
,flaggy,['fl?ɡi],a.枯萎的；松软无力的
,flagrant,['fleiɡr?nt],a.臭的，恶名昭彰的
,flail,[fleil],n.连枷(打谷工具)；v.（用连枷）打，打击
,flair,[fle?],n.天赋，本领，才华
,flak,[fl?k],n.高射炮；指责
,flake,[fleik],v.使成薄片;雪片般落下;n.薄片
,flamboyant,[fl?m'b?i?nt],a.艳丽的；(性格)炫耀的，奢华的
,flame,[fleim],"n.火焰,火苗;热情;光辉 v.发火焰,燃烧"
,flammable,['fl?m?bl],a.易燃的
,flange,[fl?nd?],n.(火车车轮的)凸缘，轮缘
,flank,[fl??k],n.侧面;胁;胁腹
,flannel,['fl?nl],n.法兰绒(一种布)
,flap,[fl?p],"n.垂下物,帽沿,袋盖 n./v.拍打,拍动"
,flare,[fle?],n./v.(火焰)摇曳，闪耀
,flash,[fl??],"n./a.闪光(的) v.发闪光,闪亮;闪现"
,flashlight,['fl??lait;'fl???lait],n.手电筒;闪光灯
,flashy,['fl??i],a.浮华的
,flask,[flɑ:sk],n.烧瓶，细颈瓶
,flat,[fl?t],"a.平坦的,扁平的,平淡的 n.一套房间;平面"
,flatcar,['fl?tkɑ:(r)],n.平台型铁路货车
,flatten,['fl?tn],v.变平；彻底打败某人
,flatter,['fl?t?],v.恭维，奉承
,flatulence,['fai?br?nd],n.肠胃气胀
,flatulent,['fl?tjul?nt],a.自负的，浮夸的
,flaunt,[fl?:nt],v.（贬义）炫耀，张扬
,flaunty,[fl?:nti],a.炫耀的，张扬的
,flavor,['fleiv?],n.(flavour)情味;风味;滋味 v.给…调味
,flavoring,['fleiv?ri?],n.香料，调味品
,flaw,[fl?:],n.瑕疵；v.生裂缝；有瑕疵
,flawed,[fl?:d],a.有缺陷的
,flax,[fl?ks],n.亚麻
,flay,[flei],v.剥皮；诈取；严厉指责
,flea,[fli:],n.跳蚤
,fleck,[flek],n.斑点；微粒
,fledge,[fled?],v.小鸟长飞羽，变得羽毛丰满
,fledgling,['fled?li?],n.正在学习飞行的幼鸟；无经验的人
,flee,[fli:],v.逃走;逃避
,fleece,[fli:s],n.生羊皮，羊毛；v.骗取
,fleet,[fli:t],a.快速的；v.消磨；掠过
,fleeting,['fli:ti?],a.短暂的，飞逝的
,flesh,[fle?],"n.肉,肌肉"
,flex,[fleks],v.弯曲
,flexibility,[?fleks?'biliti;?fleks?'bil?ti],n.灵活性
,flexible,['fleks?bl],a.易弯曲的；灵活的
,flick,[flik],v./n.轻打，轻弹
,flicker,['flik?],v.闪烁，摇曳
,flickering,['flik?ri?],"a.闪烁的,摇曳的,一闪一闪的"
,flight,[flait],n.飞行，飞翔；逃跑
,flighty,['flaiti],a.轻浮的；反复无常的
,flimflam,['flimfl?m],n.欺骗；胡言乱语
,flimsy,['flimzi],a.轻而薄的；不结实的，易坏的
,flinch,[flin?],v.畏缩，退缩
,fling,[fli?],"v.(用力地)扔,抛,丢"
,flint,[flint],n.打火石，燧石
,flip,[flip],v.用指轻弹；蹦跳；a.无礼的
,flippancy,['flip?nsi],n.无礼;言语轻浮尖刻
,flippant,['flip?nt],a.无礼的；轻浮的、不严肃的
,flirt,[fl?:t],v.挑逗，调情
,flit,[flit],v.掠过，迅速飞过
,float,[fl?ut],n.飘浮;漂流物 v.浮动;漂浮;传播;动摇
,flock,[fl?k],n.羊群；鸟群
,floe,[fl?u],n.大块浮冰
,flood,[fl?d],"n.洪水,水灾 v.淹没,发大水,泛滥"
,floodgate,['fl?dɡeit],n.(水闸的)闸门
,floodplain,[''fl?dplein;'fl?d?plein],"n.泛滥平原,涝原,漫滩"
,floor,[fl?:],"n.地板,(楼房)的层"
,floppy,['fl?pi],a.松软的；衰弱的
,flora,['fl?:r?],n.(某地区或时代的)植物群
,floral,['fl?:r?l;'fl?ur?l],"a.花的,植物的"
,florescence,[fl?:'resns],n.繁花时期
,florid,['fl?rid],a.华丽的；(脸)红润的
,flossy,['fl?si],a.华丽的，时髦的；丝绵的，柔软的
,flounder,['flaund?],v.挣扎；艰难地移动；n.比目鱼
,flour,['flau?],n.面粉
,flourish,['fl?ri?],v.昌盛，兴旺；活跃而有影响
,flout,[flaut],v.蔑视，违抗
,flow,[fl?u],"v.流,流动 n.流量,流速"
,flower,['flau?],n.花；精华，精粹，精英；盛时 vi.开花
,flu,[flu:],n.(influenza)流行性感冒
,fluctuate,['fl?ktjueit],v.波动；变化
,fluctuation,[?fl?ktju'ei??n;?fl?kt?u'ei??n],"n.波动,起伏"
,fluent,['flu(:)?nt],"a.流利的,流畅的"
,fluffy,['fl?fi],a.有绒毛的；空洞的
,fluid,['flu(:)id],"a.流动的,液体的 n.流体,液体"
,fluke,[flu:k],n.侥幸；意想不到的事
,flummox,['fl?m?ks],v.使混乱；背诵出错；失败
,flunk,[fl??k],v.考试不及格
,fluorescent,[flu?'res?nt],a.萤光的，发光的
,fluoroscopy,[?flu?'r?sk?pi],n.荧光屏检查;X射线透视检
,flush,[fl??],n./v.脸红；奔流；冲洗
,fluster,['fl?st?],v.使困惑而慌乱
,flustered,['fl?st?d],a.慌张的
,flutter,['fl?t?],v.拍翅
,fluvial,['flu:vi?l],a.河流的，生长在河中的
,flux,[fl?ks],n.不断的变动；动荡不定
,fly,[flai],n.飞行;苍蝇  v飞行;飘杨 a.机敏的
,flyspeck,['flaispek;'flai?spek],"n.蝇粪留下的污点,污点"
,foam,[f?um],"v./n.泡沫,起泡沫"
,focus,['f?uk?s],"n.焦点,(活动,兴趣等的)中心 v.(on)使聚集"
,fodder,['f?d?],n.草料
,foe,[f?u],"n.敌人,敌军;危害物:a foe to health"
,fog,[f?ɡ],n.雾气，雾 v.以雾笼罩，被雾笼罩
,fogged,[f?gd],"a.[摄]有灰雾的,不清晰的"
,foggy,['f?gi],"a.雾深的,模糊的"
,foghorn,['f?gh?:n;'f?g?h?:n],n.雾号(浓雾信号)
,foible,['f?ibl],n.小缺点，小毛病
,foil,[f?il],n.钝剑；箔，锡箔纸；v.阻止，挫败
,foist,[f?ist],"vt.把...强塞给,骗卖给"
,fold,[f?uld],n.羊栏，畜栏；v.折叠
,folder,['f?uld?],n.文件夹，纸夹
,folding,['f?uldi?],a.可折叠的
,foliage,['f?uliid?],n.叶子(总称)
,folk,[f?uk],n.人们;民族;亲属 a.民间的
,folklore,['f?ukl?:],n.民间传说；民俗学
,folksy,['f?uksi],a.有民间风味的；亲切的，友好的
,follicle,['f?likl;'f?lik?l],"n.[解]小囊,滤泡,卵泡"
,follow,['f?l?u],"v.跟随,接着;领会;沿着…前进,遵循;结果是"
,follow suit,,n.跟着做
,following,['f?l?ui?],a.下列的，下述的，其次的，接着的
,folly,['f?li],n.愚蠢；愚蠢的行为，思想或做法
,foment,[f?u'ment],v.煽动，助长(坏事)
,fond,[f?nd],"a.(of)喜爱的,爱好的"
,fondle,['f?nd(?)l],v.抚弄，抚摸
,food,[fu:d],n.食物，粮食，养料
,foodstuff,['fu:dst?f],n.食料，食品
,fool,[fu:l],n.傻子，笨蛋vt.欺骗，愚弄vi.干蠢事
,fool around,,"v.闲荡,干蠢事(或无用,琐悄的事)"
,foolhardy,['fu:l?hɑ:di],a.有勇无谋的
,foolish,['fu:li?],"a.愚笨的,愚蠢的"
,foolproof,['fu:lpru:f],a.容易懂的，简易而不会误用的
,foot,[fut],n.(pl.feet)脚，足；英尺；底部
,foot-dragging,,n.懒散;迟疑
,football,"['fut,b?:l]",n.足球
,foothold,['futh?uld],n.立足点，根据地
,footle,['fu:tl],v.胡闹；浪费(时间)
,footloose,['futlu:s;'fut?lu:s],"a.无拘无束的,自由自在的"
,footnote,['futn?ut;'fut?n?ut],n.脚注
,footpath,['futp?θ;'fut?p?θ],"n.人行道,小路"
,footstep,['fut'step],"n.脚步(声),足迹"
,fop,[f?p],n.(喜好精致服装的)花花公子
,foppish,['f?pi?],a.浮华的，俗丽的
,for,"[强 f?:, 弱f?]",prep.为了；给；代替；向；支持 conj.因为?
,forage,['f?rid?],n.(牛马的)饲料，粮草；v.搜寻，翻寻(尤指食物)
,forager,['f?rid??],n.为动物寻找饲料的人；粮草征发员；成散开横队的骑兵
,foray,['f?rei],n./v.突袭，偷袭
,forbearance,[f?:'be?r?ns],n.自制，忍耐
,forbid,[f?'bid],v.不许，禁止；妨碍，阻止
,forbidding,[f?'bidi?],a.(表情)冷峻的；形势险恶的
,force,[f?:s],"n.力量,力;势力;(pl.)(总称)军队 v.强迫"
,forceps,['f?:seps;'f?:s?ps],n.镊子
,ford,[f?:d],n.浅滩，水浅可涉处；v.涉水
,Ford,[f?:d;f?urd],n.福特汽车公司
,fore,[f?:],ad.在前面 a.先前的；在前部的 n.前部
,forebear,['f?:be?],n.祖宗，祖先
,forebode,[f?:'b?ud],v.不祥预感，凶兆
,forecast,['f?:kɑ:st],v.预报，预测；n.预测
,foreclose,[f?:'kl?uz],v.排除；取消抵押品的赎回权
,forefather,['f?:?fɑ:??;'f?ur?fɑ:??],"n.祖先,祖宗"
,forefront,['f?:fr?nt;'f?ur?fr?nt],n.最前沿
,forehead,['f?rid],n.前额;(任何事物的)前部
,foreign,['f?rin],"a.外国的,(to)无关的;外来的;异质的"
,foreigner,['f?rin?],n.外国人
,foreknowledge,[f?:'n?lid?],n.（知识）预知
,foremost,['f?:m?ust],a.最先的;最初的; 主要的 ad.首要地
,forensic,[f?'rensik],a.法庭的，辩论的
,forensic medicine,,n.法医学
,foreordain,"[,f?:r?:'dein]",v.预先注定
,forerunner,"['f?:,r?n?]",n.预兆，前兆；先驱
,foresee,[f?:'si:],"v.预见,预知"
,foreshadow,[f?:'??d?u],v.预示
,foreshorten,[f?:'??:tn],vt.(绘画中)按照透视法缩短
,foresight,['f?:sait],n.远见，深谋远虑
,forest,['f?rist],n.森林
,forestall,[f?:'st?:l],v.先发制人，预先阻止
,forestry,['f?ristri],n.森林学；林产；林地
,foretell,[f?:'tel;f?ur'tel],"v.预示,预测"
,forethought,['f?:θ?:t;'f?ur?θ?:t],n.远见
,forever,[f?'rev?],adv.(for ever)永远；总是
,foreword,['f?:w?:d],n.前言，序
,forfeit,['f?:fit],v.丧失，被罚没收；n.丧失物
,forfeiture,['f?:fit??],n.(名誉等)丧失
,forge,[f?:d?],n.铁匠铺；v.锤炼；伪造
,forger,['f?:d??],n.打铁匠；伪造者
,forgery,['f?:d??ri],n.伪造(物)
,forget,[f?'ɡet],"v.忘记,遗忘"
,forgive,[f?'ɡiv],"v.原谅,饶恕"
,forgo,[f?:'ɡ?u],v.放弃，抛弃
,fork,[f?:k],"n.叉,耙;叉形物;餐叉"
,forlorn,[f?'l?:n],a.孤独的；凄凉的
,form,[f?:m],"n.形状,形式;表格 v.组成,构成;形成"
,formal,['f?:m?l],a.正式的;形式的
,formaldehyde,[f?:'m?ldihaid],n.[化]甲醛
,formality,[f?:'m?liti],n.遵循的规范；拘泥形式；正式
,formalized,['f?:m?laiz;'f?:m?l?aiz],"a.形式化的,使程序化的"
,format,['f?:m?t],"n.(出版物的)开本,版式,格式 vt.设计;安排"
,formation,[f?:'mei??n],n.组织，形成；(军队)编队
,formative,['f?:m?tiv],a.形成的，影响发展的
,former,['f?:m?],"a.以前的,在前的 pron.前者"
,formerly,['f?:m?li],"ad.从前,以前"
,formidable,['f?:mid?bl],a.可怕的；困难的
,formula,['f?:mjul?],n.分子式；公式；套语，惯用语
,formulate,['f?:mjuleit],v. 用公式表示;规划;设计;系统地阐述
,forsake,[f?'seik],v.遗弃，放弃
,forswear,[f?:'swe?],v.誓绝，放弃
,fort,[f?:t],n.要塞，城堡
,forte,[f?:t],n.长处，擅长；a.(音乐)强音的
,forth,[f?:θ],ad.向前；向外，往外
,forthcoming,['f?:θ'k?mi?],a.即将到来的;准备好的;乐意帮助的;n.来临
,forthright,['f?:θ'rait],a.直率的
,forthwith,['f?:θ'wiθ;f?urθ'wiθ],a.即刻;[美俚]必须立即执行的命令
,fortify,['f?:tifai],v.加强防卫
,fortitude,['f?:titju:d],n.(在痛苦、困难前表现出的)坚毅，坚韧不拔
,fortnight,['f?:tnait],n.两星期
,fortress,['f?:tris],n.要塞;城堡
,fortuitous,[f?:'tju(:)it?s],a.偶然的，意外的；幸运的
,fortuitously,[f?:'tju?t?s],"ad.偶然地,意外地"
,fortunate,['f?:t??nit],"a.幸运的,侥幸的"
,fortune,"['f?:t??n, -t?u:n]",n.运气;命运;财产;财富
,forty,['f?:ti],num./a.四十 pron.四十(个，只...)
,forum,['f?:r?m],n.辩论的场所，讲坛
,forward,['f?:w?d],a.过激的，莽撞的
,fosse,[f?s],n.护城河
,fossil,['f?s?l],n.化石
,fossilize,['f?silaiz],v.使?成为化石；使?过时
,fossilized,['f?silaiz;'f?s?l?aiz],a.变成化石的
,foster,['f?st?],v.培养，鼓励；领养（孩子）
,foul,[faul],a.恶臭的；邪恶的；v.弄脏；n.(体育等)犯规
,found,,vt.建立;创立;创办;使有根据;铸造;熔制
,foundation,[faun'dei??n],"n.基础,根本,建立,创立;地基,基金,基金会"
,founder,['faund?],v.(船)沉没；(计划)失败
,fountain,['fauntin],"n.泉水,喷泉,源泉"
,four,[f?:],num.四 pron./a.四(个，只...)
,four-poster,"[,f?:'p?st?(r)]",n.有四柱的床
,fourteen,['f?:'ti:n],num.十四，十四个
,fowl,[faul],n.禽;家禽;禽肉
,fox,[f?ks],n.狐狸
,foyer,['f?iei],n.门厅，休息室
,fracas,['frek?s],n.大声争吵，打闹
,fraction,['fr?k??n],n.碎片；小部分
,fractional,['fr?k??nl],a.微小的，极小的
,fractious,['fr?k??s],a.(脾气)易怒的，好争吵的
,fracture,['fr?kt??],n.骨折；折断；裂口
,fragile,['fr?d?ail],a.易碎的，易坏的
,fragility,[fr?'d?iliti;fr?'d?il?ti],n.脆弱
,fragment,['fr?ɡm?nt],n.碎片；分裂
,fragrance,['freiɡr?ns],n.香料；香味
,fragrant,['freiɡr?nt],a.芳香的；愉快的
,frail,[freil],a.（物）易破碎的，脆弱的；（人身体）不坚实的
,frame,[freim],n.框架;体格;骨架;组织;机构 v.设计;制定
,framework,['freimw?:k],n.构架;框架;结构;组织;机构
,frank,[fr??k],"a.坦白的,直率的"
,frantic,['fr?ntik],a.疯狂的，狂乱的
,fraternal,[fr?'t?:nl],a.兄弟的；友善的
,fraternity,[fr?'t?:niti],n.同类人；友爱
,fraud,[fr?:d],n.欺诈，欺骗；骗子
,fraudulent,['fr?:djul?nt],a.欺骗的，不诚实的
,fraught,[fr?:t],a.充满?的
,fray,[frei],n.吵架，打斗；v.磨破
,freak,[fri:k],n.怪物，奇事；a.反常的
,freckle,['frekl],n.雀斑，斑点
,free,[fri:],a.自由的;免费的;免税的;空闲的 vt.释放
,freebooter,['fri:?bu:t?],"n.海盗,流寇"
,freedom,['fri:d?m],"n.自由,自主,免除,特权"
,freelancer,['fri:lɑ:ns?],n.自由职业者
,freestanding,['fri:st?ndi?],a.独立的；不依靠支撑物的
,freeze,[fri:z],"v.使结冰,使凝固"
,freight,[freit],n.货物；v.装货于(船等)
,freighter,['freit?],n.货车
,frenetic,[fri'netik],a.狂乱的，发狂的
,frenzy,['frenzi],n.极度激动的状态，狂暴
,frequency,['fri:kw?nsi],n.频率
,frequent,['fri:kw?nt],v.时常来访；a.惯常的
,fresco,['fresk?u],n.墙未干时绘制的壁画
,fresh,[fre?],"a.新鲜的,无经验的"
,freshen,['fre??n],v.使显得新鲜;使减少咸味;使精神饱满
,freshly,['fre?li],"ad.新近,最近"
,freshness,['fre?nis],n.新鲜;活力
,fret,[fret],n./v.(使)烦躁，焦虑
,fretful,['fretf?l],a.烦躁的
,fretwork,['fretw?:k],n.格子细工(在木头上雕出各种图案，格子的工艺)
,Freudian,['fr?idi?n],"a.弗洛伊德学说的,精神分析学的"
,friable,['frai?bl],a.易碎的
,friction,['frik??n],n.（物）摩擦；（人观念）矛盾，冲突
,Friday,,n.星期五
,fridge,[frid?],n.(refrigerator的略语)冰箱
,fried,[fraid],a.油煎的
,friend,[frend],n.朋友
,friendly,['frendli],"a.友好的,友谊的"
,friendship,,"n.友谊,友好"
,frieze,[fri:z],n.(在墙顶与天花板间起装饰作用的)横条，饰带
,frige,[frid?],n.电冰箱
,fright,[frait],n.恐怖
,frighten,['frait?n],v.使惊恐
,frightening,['fraitni?],"a.令人恐惧的,引起突然惊恐的"
,frigid,['frid?id],a.寒冷的；(人)冷淡的，不热情的
,frigidity,[fri'd?iditi],n.寒冷；冷淡
,frill,[fril],"n.饰边,褶边,虚饰"
,fringe,['frind?],n.(窗帘等)须边；边缘
,frisbee,['frizbi:],n.飞盘(塑料玩具)
,frisk,[frisk],v./n.欢跃；娱乐
,frisky,['friski],a.活泼的，快活的
,fritter,['frit?],v.(在无意义上的小事上)愚蠢地浪费；切碎
,frivolity,[fri'v?liti;fri'v?l?ti],n.轻浮
,frivolous,['friv?l?s],a.轻浮的，不严肃的
,frog,[fr?ɡ],n.蛙
,frolic,['fr?lik],v./n.嬉戏；雀跃
,frolicsome,['fr?liks?m],a.快活的，欢乐的
,from,"[强fr?m, 弱fr?m]",prep.从，自从；由于；离；根据，按；去除
,frond,[fr?nd],n.羊齿、棕榈等的叶子
,front,[fr?nt],"a.前面的,前部的 n.正面;前线,战线 v.面对"
,frontier,['fr?ntj?],"n.国境,边境;尖端,新领域"
,frost,[fr?st],"n.霜,霜冻,严寒"
,frothy,['fr?θi],a.起泡的；(文)空洞的
,frown,[fraun],v.皱眉
,frowsy,['frauz?],"a.不整洁的,有臭味的,很闷的=frowzy"
,frowzy,['frauzi],a.不整洁的，污秽的
,fructify,['fr?ktifai],v.结果实；成功
,frugal,['fru:ɡ?l],a.节约的，节俭的
,frugality,[fru:'g?liti;fru:'g?l?ti],"n.节约,俭省"
,fruit,[fru:t],"n.水果,果实;成果,效果"
,fruitful,['fru:tful],"a.多产的;果实累累的,富有成效的"
,fruitfulness,['fru:tfulnis;'fru:tf?lnis],n.硕果累累;多产
,fruition,[fru(:)'i??n],n.（希望、计划）实现，完成
,fruitless,['fru:tlis],"a.不结果实的,无收获的"
,fruitlessly,['fru:tlisli],ad.徒劳地
,frumpy,['fr?mpi],a.邋遢的；老式的，过时的
,frustrate,[fr?s'treit],v.使受挫；使沮丧；使失败
,frustrating,['fr?streiti?],a.令人沮丧胆
,frustration,[fr?s'trei??n;?fr?s'trei??n],"n.挫败,挫折"
,fry,[frai],"v.油煎,油炸"
,fuddle,['f?dl],v.灌醉；使迷糊
,fuel,['fju?l],n.燃料 vt.给…加燃料
,fulcrum,['f?lkr?m],n.杠杆支点，支柱
,fulfil,[ful'fil],v.履行；满足，符合
,fulfill,[ful'fil],"v.(fulfil)完成,履行,实践,满足"
,full,[ful],"a.(of)满的,充满的 a./ad.完全,充分"
,full-blown,['ful'bl?un],a.(鲜花)盛开的
,full-bodied,['ful'b?did],a.(味道等)浓郁而强烈的
,full-fledged,['ful'fled?d],a.羽毛丰满的；成熟的
,fulminant,['fu:lm?n?nt],a.(疾病)暴发性的
,fulminate,['f?lmineit],v.猛烈抨击，严厉谴责
,fulsome,['fuls?m],a.虚情假意的；充足的
,fumble,['f?mbl],v.摸索，笨拙搜寻；弄乱，搞糟
